Game Date,Player Name,Position,Team,Opponent,Period 1 - SOG,Period 2 - SOG,Period 3 - SOG,Total SOG,Period 1 - Blocked,Period 1 - Missed,Period 1 - Failed Shots,Period 2 - Blocked,Period 2 - Missed,Period 2 - Failed Shots,Period 3 - Blocked,Period 3 - Missed,Period 3 - Failed Shots,SUM of Failed Shots,SUM of Shot Attempts,Shot %,Failed Shot %
10/12/2024,Henri Jokiharju,D,Buffalo Sabres,Florida Panthers,0,1,0,1,0,1,1,0,0,0,1,0,1,2,3,33.33333333,66.66666667
10/12/2024,Peyton Krebs,C,Buffalo Sabres,Florida Panthers,0,1,0,1,0,0,0,0,0,0,0,1,1,1,2,50,50
10/12/2024,Jiri Kulich,C,Buffalo Sabres,Florida Panthers,0,2,0,2,0,0,0,0,1,1,1,0,1,2,4,50,50
10/12/2024,Beck Malenstyn,LW,Buffalo Sabres,Florida Panthers,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,100
10/12/2024,Ryan McLeod,C,Buffalo Sabres,Florida Panthers,0,0,1,1,0,0,0,0,1,1,0,2,2,3,4,25,75
10/12/2024,Owen Power,D,Buffalo Sabres,Florida Panthers,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,100
10/12/2024,Jack Quinn,RW,Buffalo Sabres,Florida Panthers,2,0,1,3,1,2,3,0,1,1,0,0,0,4,7,42.85714286,57.14285714
10/12/2024,Mattias Samuelsson,D,Buffalo Sabres,Florida Panthers,0,4,0,4,0,0,0,1,1,2,0,0,0,2,6,66.66666667,33.33333333
10/12/2024,Tage Thompson,C,Buffalo Sabres,Florida Panthers,1,2,0,3,2,2,4,0,1,1,0,0,0,5,8,37.5,62.5
10/12/2024,Alex Tuch,RW,Buffalo Sabres,Florida Panthers,0,1,2,3,0,2,2,0,0,0,1,0,1,3,6,50,50
10/12/2024,Jason Zucker,LW,Buffalo Sabres,Florida Panthers,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,100
,,,,,,,,,,,,,,,,,,,,,
10/16/2024,Zach Benson,LW,Buffalo Sabres,Pittsburgh Penguins,0,1,2,3,0,0,0,0,1,1,0,0,0,1,4,75,25
10/16/2024,Bowen Byram,D,Buffalo Sabres,Pittsburgh Penguins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/16/2024,Connor Clifton,D,Buffalo Sabres,Pittsburgh Penguins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/16/2024,Dylan Cozens,C,Buffalo Sabres,Pittsburgh Penguins,1,1,1,3,1,1,2,0,0,0,0,0,0,2,5,60,40
10/16/2024,Rasmus Dahlin,D,Buffalo Sabres,Pittsburgh Penguins,0,2,3,5,0,0,0,0,0,0,0,0,0,0,5,100,0
10/16/2024,Jordan Greenway,LW,Buffalo Sabres,Pittsburgh Penguins,2,0,0,2,1,0,1,0,0,0,0,0,0,1,3,66.66666667,33.33333333
